weekNumber;numberOfGames;totalRevenue;averageRevenue;medianRevenue;averagePrice;averagePlayTime;top25;top5;bottom30
1;216;7237853,463814986;33508,580850995306;190;7,432638888888896;3,786207462984509;1057;30853;28
2;189;8331319,4741533045;44081,055418800555;188;5,1855555555555615;7,167712136469807;2700;186653;8
3;233;455128514;1953341,261802575;274;8,895407725321881;5,606627356520329;4553;289046;22
4;298;155838584,21063593;522948,2691632078;143;9,416241610738151;7,279388784993178;1919;145162;8
5;301;128014238,34279694;425296,4728996576;114;6,677275747508312;6,117000878526085;1436;169052;8
6;209;418924682,74988645;2004424,3193774472;82;6,768038277511968;3,98738547177589;846;57652;15
7;355;33078607,74243742;93179,17673926034;251;7,892788732394301;7,504132827449823;1874;130435;26
8;338;110611312,78077911;327252,40467686125;244;9,674260355029482;6,64423089354327;3674;433910;34
9;357;10411847,666016305;29164,839400605895;149;6,831148459383718;5,708575694189242;1911;126447;26
10;310;40811561,68485457;131650,19898340182;303;7,202322580645137;7,089526753058102;6542;728748;53
11;217;14853559,137236672;68449,58127758835;225;8,068341013824892;7,809222714209122;2720;235971;33
12;262;152666735,19800428;582697,4625878026;154;7,762404580152679;6,9458925942694565;2735;127625;26
13;367;34582207,69900583;94229,44877113304;269;10,298446866484893;6,751497308813542;4291;293463;51
14;303;34658677,18045837;114385,0732028329;138;7,079900990098997;5,116139375143499;1770;130444;23
15;255;25479888,390244547;99921,13094213548;163;6,690078431372555;6,821103754645496;2822;356424;26
16;273;30172556,377765868;110522,1845339409;179;7,861794871794855;7,9286892758513945;4619;150160;34
17;307;128123982,40738139;417341,9622390273;202;8,654429967426644;8,454586911259838;6148;648441;26
18;347;54347672;156621,53314121038;128;7,1039193083572885;7,393830386032366;1856;124882;8
19;284;74180985,31670657;261200,65252361467;124;10,166338028168926;5,829183388696167;2795;271519;10
20;343;83295908,80398151;242845,21517195777;176;7,426297376093231;6,18955708579613;3328;209792;21
21;320;23020833,611281633;71940,10503525511;404;10,508968749999879;6,147047009834717;5668;240245;48
22;303;47094176,659018695;155426,32560732242;148;7,7349174917491395;7,30407895203276;2888;265488;6
23;305;41926399,0098088;137463,60331084853;152;8,016754098360602;6,570027410000952;2185;157359;10
24;255;33821617,16409763;132633,79280038286;91;7,192313725490203;4,681221634979292;757;90074;4
25;400;49413406;123533,515;354;8,6275749999999;7,591385898747563;4684;191927;40
26;325;13895532,728924965;42755,48531976913;130;11,355784615384492;5,1897991237422545;1988;90271;16
27;198;414244;2092,1414141414143;35;5,078686868686874;6,222434518224273;296;6927;1
28;269;65052253,54810918;241829,9388405546;90;5,579888475836438;7,138530824239803;1207;79752;6
29;407;27367291,060105808;67241,50137618135;134;7,3650368550367595;9,468290848219347;2934;196407;12
30;359;36037342;100382,56824512535;156;8,61027855153193;6,155823785258622;3724;106092;8
31;453;16366373,930804344;36128,86077440253;106;6,138675496688675;6,535334230393471;1476;66712;6
32;347;22747046,258851558;65553,44743184886;141;6,792651296829939;7,667298375061825;2077;156364;17
33;335;38849541,86284645;115968,78168013865;134;8,16286567164173;5,982821739977493;1971;132971;19
34;257;966815549,8759811;3761928,2096341676;97;8,43603112840465;5,529068711916434;1233;77829;8
35;352;39275963,10253199;111579,44063219316;134;7,178323863636313;6,475564702736937;2912;202297;5
36;276;60723297,475252636;220011,94737410377;69;7,577101449275355;7,64644869853152;1165;184123;8
37;287;157227273,6041617;547830,2216172882;209;10,826132404181092;5,812637063418045;5329;566824;26
38;285;72748369,31271124;255257,43618495172;269;13,240456140350775;4,759353862947638;5383;250254;26
39;378;132250810,75503673;349869,86972231936;153;10,488888888888777;5,8665705658531975;2007;304874;17
40;321;134877322,3226975;420178,57421401085;94;10,30968847352016;5,177918830907801;2051;221741;8
41;309;143721008,43037203;465116,5321371263;98;8,611812297734557;5,1791236689258655;2061;170472;9
42;238;17266774,836171314;72549,47410156015;66,00208613518878;6,331176470588241;4,6771221855310525;1469;108776;5
43;566;130151957,9906074;229950,455813794;258;8,216307420494552;5,26838278655636;2354;151602;36
44;492;66932518;136041,70325203252;134;8,440264227642137;5,224208748266076;1464;74041;17
45;425;25908446,740624633;60961,0511544109;129;8,292094117646963;5,359142487235871;2182;180106;11
46;424;58371830,02533103;137669,41043710147;161;8,92181603773572;5,306018014525623;2367;110506;12
47;378;105484440,53495216;279059,36649458244;109;7,372195767195682;5,245971822646821;1390;123152;13
48;323;2340832,1037420463;7247,158215919648;71;8,92479876160981;3,593703116314932;696;26307;8
49;409;179180584,20674378;438094,337913799;80;7,569242053789641;4,069874394654958;1376;59133;8
50;461;30677509,652070094;66545,57408258154;134;8,31570498915391;4,228130641575652;1958;84355;8
51;353;3510185;9943,86685552408;67;11,682464589235027;3,0583448138337697;641;26462;5
52;219;205042,1691044763;936,2656123492069;32;5,3404109589041155;2,411765794642533;173;3659;3
53;101;475757;4710,465346534654;23;6,558217821782184;2,068178829940934;179;11238;2
